entidade;numero_processo;contrato;num_contrato_orgao;objeto;valor_global;cnpj;razao_social;data_de_celebracao;data_de_vigencia;situacao;local_da_execucao;modalidade_de_contratacao;subtipo_de_contrato;tipo_de_aquisicao;arquivo_origem;data_inicio;data_fim
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;33143;00086/2017;003/2017/SEDEC;O objeto do presente instrumento refere-se a contratacao de empresa especializada em fornecimento de agua mineral, natural, sem gas, acondicionada em garrafao de polipropileno, com capacidade para 20 (vinte) litros, em atendimento a demanda da Secretaria;13950.0;13332212000118;FINISSIMA DISTRIBUIDORA DE AGUA LTDA ME;2017-03-15;15/03/2017 a 15/03/2018;CELEBRADO;;PREGAO ELETRONICO;Fornecimento de Materiais de Consumo;52 - EQUIPAMENTOS E MATERIAL PERMANENTE;transparencia_excel_17.xls;2017-03-15;2018-03-15
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00088/2017;004/2017/SEDEC;"O presente contrato tem como objeto a locacao temporaria do Centro de Eventos do Pantanal para a realizacao da FIT - Feira Internacional do Turismo do Pantanal, a ser realizada em Cuiaba-MT, no periodo de 20 a 23 de abril de 2017 das 08h00 as 23h00; sendo";291182.0;03534450000152;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO ESTADO DE MATO GROSSO - SEBRAE/MT;2017-04-04;04/04/2017 a 18/05/2017;CELEBRADO;;INEXIGIBILIDADE;Locao de Imveis;Locacao de Bens;transparencia_excel_17.xls;2017-04-04;2017-05-18
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00117/2017;001/2017/SEDEC;O objeto do presente instrumento e a contratacao de servicos de telefonia movel e comunicacao de dados e internet com fornecimento de SIMCARD, aparelhos telefonicos e acessorios em regime de comodato, que serao prestados nas condicoes estabelecidas no Ter;104948.16;02558157000162;TELEFONICA BRASIL S.A.;2017-01-24;24/01/2017 a 24/01/2018;CELEBRADO;;PREGAO ELETRONICO;Telefonia Mvel;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-01-24;2018-01-24
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00158/2017;005/2017/SEDEC;Contratacao de pessoa juridica para realizacao de pesquisa e caracterizacao de argilas da regiao Centro Sul de Mato Grosso a serem realizados nos Municipios de Diamantino, Cuiaba, Dom Aquino, Rondonopolis e Alto Araguaia, visando subsidiar o segmento cera;413352.92;03819150000110;SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI;2017-05-19;19/05/2017 a 18/05/2018;CELEBRADO;;DISPENSA DE LICITACAO;Estudos e Projetos;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-05-19;2018-05-18
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01086/2017;027/2014/SEDEC (4 Aditivo);O presente termo aditivo tem a finalidade de aditar o valor do Contrato no 027/2014/SEDEC, em conformidade com o disposto no artigo 65, inc. I, alineas YaY e YbY combinado com o 1A da Lei 8.666/93, bem como na Clausula VI, Itens 6.1. e 6.3. do referido;1435418.29;24683120000107;A I FERNANDES SERVICOS DE ENGENHARIA EIRELI EPP;2017-05-04;05/05/2017 a 31/10/2017;CELEBRADO;;CONCORRENCIA;Obras de Infra-Estrutura;51 - OBRAS E INSTALACOES;transparencia_excel_17.xls;2017-05-05;2017-10-31
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00226/2017;006/2017/SEDEC;Contratacao de empresa especializada na prestacao de servicos de administracao, gerenciamento e controle da manutencao preventiva e corretiva de veiculos, incluindo fornecimento de pecas, acessorios e transporte por guincho - com implantacao e operacao de;127309.0;05340639000130;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA EPP;2017-05-24;24/05/2017 a 24/05/2018;CELEBRADO;;PREGAO ELETRONICO;Manuteno de Veculos;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-05-24;2018-05-24
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00184/2017;009/2017/SEDEC;Contratacao de empresa especializada em servicos de publicacao de materias em jornais de circulacao diaria nacional.;1866.56;18876112000176;GIBBOR PUBLICIDADE E PUBLICACOES DE EDITAIS LTDA EPP;2017-07-06;06/07/2017 a 05/07/2018;CELEBRADO;;PREGAO ELETRONICO;Comunicao Em Geral;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-07-06;2018-07-05
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00190/2017;010/2017/SEDEC;Contratacao de empresa especializada em servicos de publicacao de materias em jornais de circulacao diaria estadual (MT).;5286.4;01527405000145;W&M PUBLICIDADE LTDA-EPP;2017-07-06;06/07/2017 a 05/07/2018;CELEBRADO;;PREGAO ELETRONICO;Comunicao Em Geral;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-07-06;2018-07-05
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;1662532;00550/2017;002/2016/SEDEC (1 ADITIVO);Contratacao de empresa especializada em prestacao de servicos de copeira, devidamente uniformizada, incluidos os encargos sociais, trabalhistas, tributos e demais componentes previstos na legislacao, sendo 40 (quarenta) horas semanais Posto Mensal.;92991.6;12029446000128;LAVORO COMERCIO PRESTACAO DE SERVICOS EM MAO DE OBRA LTDA;2017-01-25;27/01/2017 a 26/01/2018;CELEBRADO;;PREGAO PRESENCIAL;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-01-27;2018-01-26
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00255/2017;008/2016/SEDEC (1 ADITIVO);Prestacao de servicos de copia, impressao e digitalizacao com a funcionalidade departamental, e solucao de gestao de impressao atraves de software, com estabelecimento de pagamento mensal, com fornecimento, instalacao e configuracao de impressoras multifu;121200.0;05522682000116;GLOBALTASK TECNOLOGIA E GESTAO S/A;2017-05-11;12/05/2017 a 11/05/2018;CELEBRADO;;PREGAO ELETRONICO;Servios de Cpias e Impresses;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-05-12;2018-05-11
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01000/2017;020/2015/SEDEC (2 ADITIVO);Prestacao de Servicos de Agenciamento e Fornecimento de passagens aereas nacionais e internacionais por meio de ferramenta on-line de auto agendamento (self-booking), para atender aos servidores e agentes publicos da Secretaria de Estado de Desenvolviment;500000.0;36932853000109;ARARAUNA TURISMO ECOLOGICO LTDA - EPP;2017-10-17;29/10/2017 a 28/10/2018;CELEBRADO;;PREGAO ELETRONICO;Passagens Areas;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-10-29;2018-10-28
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;375267;00321/2017;017/2014/SEDEC-3TERMO ADITIVO;Locacao do imovel situado na Rua Voluntarios da Patria, no 118, esquina com a Rua Ricardo Franco Centro de Cuiaba-MT.;131400.0;00015167828104;Ricardo Jose Simoes de Arruda;2017-08-11;14/08/2017 a 13/08/2018;CELEBRADO;;DISPENSA DE LICITACAO;Locao de Imveis;Locacao de Bens;transparencia_excel_17.xls;2017-08-14;2018-08-13
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00787/2017;008/2015/SEDEC/3TERMO ADITIVO;Contratacao de pessoa juridica na prestacao de servico continuado de porteiro compreendendo total de area interna e externa (com fornecimento de materiais, equipamentos e mao de obra) nas dependencias da SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO,;301767.72;05517625000149;ECOLOGICA SERVICOS TECNICOS LTDA;2017-07-28;01/08/2017 a 31/07/2018;CELEBRADO;;PREGAO ELETRONICO;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-08-01;2018-07-31
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01238/2017;013/2017/SEDEC;Contratacao de empresa especializada em fornecimento de gas de cozinha, em atendimento a demanda da Secretaria de Estado de Desenvolvimento Economico, que deriva da adesao a Ata de Registro de Precos no 038/2016/SEGES, decorrente do Pregao Eletronico no 0;2623.95;03401442000138;GASOLINI COMERCIO E SERVICOS - EIRELI;2017-10-19;19/10/2017 a 18/10/2018;CELEBRADO;;PREGAO ELETRONICO;Fornecimento de Materiais de Consumo;52 - EQUIPAMENTOS E MATERIAL PERMANENTE;transparencia_excel_17.xls;2017-10-19;2018-10-18
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01250/2017;014/2017/SEDEC;Contratacao de empresa especializada na prestacao de servicos de entrega e coleta de pequenas cargas, documentos, correspondencias, pequenos objetos, sendo servicos nao realizados pela Empresa Brasileira de Correios e Telegrafos ECT, por meio de motocic;39360.0;08967189000106;ANDRE CABRAL DE AQUINO EIRELI ME;2017-10-24;24/10/2017 a 23/10/2018;CELEBRADO;;PREGAO ELETRONICO;Encomendas e Corresp.;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-10-24;2018-10-23
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;8256;00398/2017;9912318793-2013 (4 Termo Ad.);Prestacao, pela ECT, de servicos e venda de produtos, que atendam as necessidades da CONTRATANTE, mediante adesao ao(s) ANEXO(s) deste instrumento contratual que, individualmente, caracteriza(m) cada modalidade envolvida.;15000.0;34028316001690;ECT- Empresa Publica, Constituida nos Termos do Decreto-Lei no 509, de 20 de Marco de 1969.;2017-02-24;02/03/2017 a 01/03/2018;CELEBRADO;;INEXIGIBILIDADE;Encomendas e Corresp.;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-03-02;2018-03-01
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00421/2017;007/2017;Contratacao de empresa especializada na prestacao de servicos de Lava Jato, a ser utilizado nos veiculos oficiais que compoem a frota da Secretaria de Estado de Desenvolvimento Economico SEDEC, que deriva da adesao a Ata de Registro de Precos nA 016/201;5080.0;11283031000113;Eduardo Ramos Barbosa - ME;2017-07-04;04/07/2017 a 03/07/2018;CELEBRADO;;PREGAO ELETRONICO;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-07-04;2018-07-03
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;256274;00968/2017;004/2015/SEDEC;O presente CONTRATO versa sobre a locacao de imovel nao residencial, localizado na Rua Brigadeiro Eduardo Gomes, nA 86, Bairro: Goiabeiras, Cuiaba-MT, com medida 85,5 m2, es-paco livre, com laje, piso ceramico, cerca eletrica, concertina, instalacao eletr;39316.92;18460001000184;G.DI GRECCO DA COSTA MARQUES & CIA LTDA-ME;2017-06-26;01/07/2017 a 30/06/2018;CELEBRADO;;DISPENSA DE LICITACAO;Locao de Imveis;Locacao de Bens;transparencia_excel_17.xls;2017-07-01;2018-06-30
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01067/2017;008/2017/SEDEC (1 ADITIVO);Prestacao de servicos especializados em auditoria independente contabil e tributaria para proceder exame completo e formalizar opiniao a respeito das materias a seguir elencadas, alem de orientacoes necessarias ao adequado desempenho e registro das operac;13940.0;23843609000128;AUDPLAN Y AUDITORIA E PLANEJAMENTO CONTABIL E TRIBUTARIO S/S EPP;2017-10-04;06/10/2017 a 03/01/2018;CELEBRADO;;CONVITE;Servios Tcnicos Profissionais;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-10-06;2018-01-03
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01098/2017;017/2015/SEDEC;Contratacao de empresa prestadora de servicos de Vigilancia Armada, com 01 (um) Posto de 24 (vinte e quarto) horas ininterruptas, com 04 (quatro) colaboradores, cada um com carga horaria de 12 (doze) horas diarias, realizando uma jornada de trabalho de 12;234792.0;08282957000180;PANTANAL VIGILANCIA E SEGURANCA LTDA.;2017-10-18;21/10/2017 a 20/10/2018;CELEBRADO;;PREGAO PRESENCIAL;Vigilncia;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-10-21;2018-10-20
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01100/2017;013/2014/SEDEC (4 ADITIVO);- Instrumento Contratual no 013/2014/SEDEC: Construcao do Centro de Eventos/Convencoes do Municipio de Barra do Garcas-MT. - QUARTO TERMO ADITIVO AO CONTRATO NR. 013/2014/SEDEC: O Presente Termo Aditivo tem por objeto prorrogar por 210 (duzentos e dez);1571069.03;01898295000128;GEOSOLO ENGENHARIA PLANEJAMENTO E CONSULTORIA LTDA.;2017-08-11;11/08/2017 a 11/01/2018;CELEBRADO;;CONCORRENCIA;Obras de Infra-Estrutura;51 - OBRAS E INSTALACOES;transparencia_excel_17.xls;2017-08-11;2018-01-11
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;350901;01101/2017;040/2013/SEDEC (10 ADITIVO);- CONTRATO NR 040/2013/SEDEC: Contratacao de empresa de arquitetura/engenharia para elaboracao dos projetos basicos e executivos de Revitalizacao da Orla de Caceres/MT. - 10o TERMO ADITIVO AO CONTRATO NR. 040/2013/SEDEC: 1.1 O Presente Termo Aditivo tem;320000.0;10948747000120;ABRANGENTE ENGENHARIA LTDA;2017-04-04;04/04/2017 a 30/11/2017;CELEBRADO;;PREGAO ELETRONICO;Estudos e Projetos;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-04-04;2017-11-30
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00888/2017;014/2016/SEDEC(1 ADITIVO);O objeto do presente instrumento refere-se a contratacao de pessoa juridica especializada na prestacao de Servicos de Locacao de Veiculos, categorias diversas (sem motorista e sem combustivel), com quilometragem livre, para atividades Administrativas, dur;105503.76;11644975000179;VINICIUS BELOTO ME;2017-07-25;28/07/2017 a 27/07/2018;CELEBRADO;;PREGAO ELETRONICO;Locao de Veculos;Locacao de Bens;transparencia_excel_17.xls;2017-07-28;2018-07-27
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00951/2017;007/2015/SEDEC/2TERMO ADITIVO;Prestacao de servico continuado de conservacao, limpeza e asseio, e servico de paisagismo com jardinagem, compreendendo total de area interna e externa (com fornecimento de materiais, equipamentos e mao de obra) nas dependencias da SECRETARIA DE ESTADO DE;268499.84;15952971000109;CORECO TERCEIRIZACAO E SERVICOS EIRELI;2017-07-28;01/08/2017 a 31/07/2018;CELEBRADO;;PREGAO PRESENCIAL;Limpeza;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-08-01;2018-07-31
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00028/2018;018/2017/SEDEC;Contratacao de empresa especializada na prestacao de servico de manutencao preventiva e corretiva do sistema de telefonia fixa da SEDEC e unidades, central telefonica PABX.;5004.0;26775577000169;ELEVAMAT CONSERVADORA DE ELEVADORES LTDA EPP;2017-12-06;06/12/2017 a 05/12/2018;CELEBRADO;;DISPENSA DE LICITACAO;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-12-06;2018-12-05
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01668/2017;016/2017/SEDEC;Contratacao de empresa especializada em servicos de Engenharia/Arquitetura para execucao de obra de reforma da cobertura (telhado) do predio da Secretaria de Estado de Desenvolvimento Economico.;108665.21;26238103000188;B N PASQUALOTTO ENGENHARIA - MT;2017-12-01;01/12/2017 a 30/11/2018;CELEBRADO;;TOMADA DE PRECOS;Reforma de Imveis;51 - OBRAS E INSTALACOES;transparencia_excel_17.xls;2017-12-01;2018-11-30
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00377/2018;025/2015 (2 Termo Aditivo);1.1. O presente Termo Aditivo tem por objeto a prorrogacao do prazo de vigencia do contrato no 025/2015/SEDEC por mais 12 (doze) meses, com fulcro no inciso II, do artigo 57, da Lei n.o 8.666 de 21/06/1993, a partir de 11/12/2017. 1.2. Tem por objeto ain;101082.0;03986163000183;INSTITUTO EUVALDO LODI;2017-12-04;11/12/2017 a 10/12/2018;CELEBRADO;;PREGAO ELETRONICO;Estagirios;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-12-11;2018-12-10
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00384/2018;029/2014 (3Termo Aditivo);1.1. O Presente Termo Aditivo tem por objeto prorrogar por 365 (trezentos e sessenta e cinco) dias o prazo de vigencia e por 270 (duzentos e setenta) dias o prazo de execucao do Contrato no. 029/2014/SEDEC, conforme disposto no art. 57, 1A, incisos III,;7684781.67;01898295000128;GEOSOLO ENGENHARIA PLANEJAMENTO E CONSULTORIA LTDA.;2017-12-11;13/12/2017 a 12/12/2018;CELEBRADO;;CONCORRENCIA;Obras de Infra-Estrutura;51 - OBRAS E INSTALACOES;transparencia_excel_17.xls;2017-12-13;2018-12-12
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00013/2018;015/2017/SEDEC;Contratacao de empresa especializada na prestacao de servico de manutencao preventiva e corretiva do sistema de telefonia fixa da SEDEC e unidades, central telefonica PABX.;16800.0;15013469000132;RONDON TELECOMUNICACOES LTDA.;2017-12-01;01/12/2017 a 30/11/2018;CELEBRADO;;DISPENSA DE LICITACAO;Terceirizaes;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-12-01;2018-11-30
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;605253;01273/2018;019/2017/SEDEC;Contratacao de pessoa juridica especializada para prestar servico de Consultoria, Assessoria Economica e Tributaria para elaboracao de politicas e programas de desenvolvimento e de atracao de investimentos para o Estado de Mato Grosso a serem implementada;348000.0;22988136000194;R. SALDANHA PEREIRA - EPP;2017-12-21;21/12/2017 a 20/12/2018;CELEBRADO;;INEXIGIBILIDADE;Estudos e Projetos;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-12-21;2018-12-20
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;442484;01134/2018;019/2013/SEDEC (4 ADITIVO);Contratacao de empresa especializada em prestacao de servico telefonico fixo comutado e servicos vinculados.;76079.25;76535764000143;OI S/A;2017-10-27;29/10/2017 a 28/10/2018;CELEBRADO;;ADESAO;Telefonia Fixa;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-10-29;2018-10-28
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;186486;00703/2018;027/2014 (5 Termo Aditivo);Contratacao de empresa de engenharia para Execucao de Infraestrutura Viaria Turistica Obra de Pavimentacao Asfaltica e Drenagem de Aguas Pluviais em Ruas e Avenidas do Municipio de Nobres/MT. 1. CLAUSULA PRIMEIRA - DO OBJETO: 1.1. O Presente Termo A;1435418.29;24683120000107;A I FERNANDES SERVICOS DE ENGENHARIA EIRELI EPP;2017-10-30;01/11/2017 a 29/04/2018;CELEBRADO;;CONCORRENCIA;Obras de Infra-Estrutura;51 - OBRAS E INSTALACOES;transparencia_excel_17.xls;2017-11-01;2018-04-29
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;00365/2018;017/2017/SEDEC;O objeto do presente instrumento e a contratacao de empresa especializada em consultoria para a elaboracao do Plano de Marketing Turistico do polo Pantanal, envolvendo os seguintes municipios: Barao de Melgaco, Caceres, Pocone, Santo Antonio de Leverger e;415000.0;73477176000102;PIRES E ASSOCIADOS ASSESSORIA LTDA EPP;2019-06-05;06/12/2017 a 06/12/2019;CELEBRADO;;TOMADA DE PRECOS;Estudos e Projetos;39 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;transparencia_excel_17.xls;2017-12-06;2019-12-06
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;;01129/2017;012/2017/SEDEC;Contratacao de pessoa juridica especializada na prestacao de Servicos de Locacao de Veiculos, categoria economica (sem motorista e sem combustivel), com quilometragem livre, para atividades Administrativas, durante 12 (doze) meses consecutivos, selecionad;79200.0;73530396000152;INTERLAGOS LOCADORA DE VEICULOS LTDA - ME;2017-10-05;05/10/2017 a 04/10/2021;CELEBRADO;;PREGAO PRESENCIAL;Locao de Veculos;Locacao de Bens;transparencia_excel_17.xls;2017-10-05;2021-10-04
